用户名,用户城市,评论内容,点赞数,评论时间,情感得分
柚之谦,湖南,《顽疾》是深陷其中无法自拔.. 《湖泊》是坠入深渊垂死挣扎.. 而《平庸》是逐渐释怀慢慢放下..,2689,2025-11-07 20:30:10,0.9977071781102471
乐途乐途乐在途中,贵州,平庸的我 租购了房 患上顽疾 最后跌入了湖泊,2313,2025-11-07 20:52:17,0.02345308168605187
阿祁iiii,广东,只有薛友才知道这一个月有多少爽,2082,2025-11-08 02:22:28,0.9627550074898222
梦w努力浇了水,广东,你以为他只写苦情歌 其实他写尽了人生百态,1198,2025-11-07 20:44:44,0.7555485052886519
加里敦大学实习生,江苏,祝各位四巡都是原价票[手动狗头],1069,2025-11-07 20:42:36,0.779677633961083
谦谦去宇宙摘星了,河南,“我们无法预知某个瞬间的价值，直到它变成平庸回忆”,509,2025-11-07 20:32:28,0.9638439807485982
小沄a,广东,薛之谦的兵不平庸！今年靠自己的努力拿到了国家奖学金和学校一等奖奖学金 四巡我来了[多多大哭][多多大哭][多多大哭],448,2025-11-07 20:34:48,0.9999983656272511
尘埃之墨,浙江,这首歌感觉到薛的作词还在进化，最后那一段真的太美了而且和Demo作词完全契合，我一直觉得薛的用词真的很特别，有他自己的感觉又很精准，最后的“渲染”和“失真”这两个词真的太美了戳我了，神曲降临，这首曲我也挺喜欢的，这三期平庸＞湖泊＞顽疾（当然我都很喜欢，只不过是喜好度有些差别）,341,2025-11-07 22:05:14,0.999999995331446
神秘忧郁男_,广东,那很苦了,241,2025-11-07 22:15:59,0.6677486813335564
爱笑的zdy,北京,当个预言家，薛之谦四巡，珍姐当嘉宾，两个人合唱，我们在现场一边听一边哭[哭哭],218,2025-11-08 02:59:14,0.9981832785825291
白久涵呀,云南,“任秋叶卷起，话就落地”谁懂这两句！！！！,214,2025-11-07 21:04:58,0.9489480337972489
Alewx-,河北,世界上有一个特别棒的人 她正在读我这句话,171,2025-11-08 00:25:49,0.9991735537770791
柚之谦,湖南,感谢..[拜],170,2025-11-07 20:30:17,0.8447733843369465
正日落,江苏,万人血书《爱好》！！！[亲亲][亲亲][亲亲],147,2025-11-07 21:43:10,0.8925558698216643
旧人旧到,广东,好奇怪，我一按暂停，就不唱了 就像，我一不主动，我们就结束了,139,2025-11-11 21:55:18,0.7212553523240155
愿化成传说守护你,广西,别担心，你迟早也会成为别人的宝藏,6,2025-11-17 01:18:55,0.9597498023890557
09RAIN60,湖南,给我点赞可以吗？我想弄那个百赞徽章[爱心] 放只小猫在这里给你们摸！ 　　　　　／＞　　フ 　　　　　|  　_　 _ l 　 　　　／` ミ＿꒳ノ 　　 　 /　　　 　 | 　　　 /　 ヽ　　 ﾉ 　 　 │　　|　|　| 　／￣|　　 |　|　| 　| (￣ヽ＿_ヽ_)__) 　＼二つ,5,2025-11-21 14:12:45,0.9999999878122153
