用户名,用户城市,评论内容,点赞数,评论时间,情感得分
陈抒妮,江苏,这是我写给天上外婆的曲子，我从小就觉得我的隔辈缘很浅，但唯独外婆她依然会因为想和我睡一起还给我零花买零食，这是我唯一一份深刻且珍贵的隔辈缘，很幸运的又是，走后，您常常出现在我梦里，您一定也常常在天上庇佑着我，这首歌，我也很希望能传递到天边，让您听见。,1195,2025-10-30 12:56:34,0.9999999998135043
辞微tsute,江西,歌词有江南感觉，旋律却有淡淡的悲凉厚重感，很矛盾却又很吸我的一对组合。听完这首歌，第一个浮现的联想是《万千花蕊慈母悲哀》。并非旋律的相似，而是那种被巨大的、无声的悲哀攫住喉咙的感觉，如出一辙。,337,2025-11-02 09:24:44,0.9999999999123854
KersonChen,江苏,曾在芳华之年着花冠者，定将以永盛之姿摇曳于岁月里，回忆旁，江水上。,263,2025-11-02 08:16:27,0.9731794041444544
居居爱吃小孩儿,辽宁,回去上学的高铁上日推到了这首，我一直在哭，为什么我要跑黑龙江这么远的地方来上学，我不想回去上学，繁忙的学业和部门工作、人际关系、看不到的未来，压得我喘不过气。我想回家，我的家不是黑龙江的田野，是很多很多的山，连绵不绝的山，一眼忘不到边的山。我是从大山里飞出来的风筝，我念家。,231,2025-11-02 11:21:49,0.9999999623968431
汉白玉佩-珍珠扣_,辽宁,我是父母带大的，和两边的老人都不亲，外婆两年前去世，葬礼上我没哭，一直到我跟着家人到指定位置烧纸。我们点了一垛特别高的火，灰烟随着风飘向墓园的方向。妈妈跟我说你姥一辈子舍不得花钱 现在在那边肯定乐呵呵数钱呢。就这一句话我直接崩溃了开始止不住地哭。好难过，在她走后我才迟缓地开始爱她,140,2025-10-30 21:27:23,0.9986543991050006
bubblegummm_,河南,“死并非生的对立面，而作为生的一部分永存”,133,2025-10-31 18:46:20,0.5212865033900069
ichende,上海,中国有十四亿人口，网易云有八亿用户，而你偏偏在这首歌的评论里看到了我，然后你花了五秒来读我这段话，是的呢，这一瞬间你是我的人。你好陌生人，今天也是美好的一天,86,2025-11-08 13:09:00,0.9709776597122373
陈抒妮,北京,来了，是我的老家汕尾福佬话！,77,2025-11-12 17:52:11,0.32719906417647937
Aube-蒲猫一巡全勤版,吉林,这首歌随机播到前奏就是很民族的感觉，虽然我爱听节奏感强的歌，还是忍不住听完了，很多地方的高音和唱腔感觉也很民族，很好听，很抓耳。民族的就是世界的！歌词也不错，是外婆去世之后一首思念外婆的歌，很能共情，很伤感。点了小红心，希望以后随机到这首歌的时候看到已经火起来了，加油！,77,2025-11-02 08:33:42,0.9999999999999158
乔碧鸭殿下,上海,外婆会在天上好好看着妮宝的，化作世间的雷雨风在你身边[红心],63,2025-10-30 13:15:34,0.9955254459626167
没事想美式_,黑龙江,有些人就是充电器，聊几句就能让你满血复活。有些人就是榨汁机， 一句话就能让你少活好几天。,34,2025-11-11 13:44:10,0.9524237306639358
-Love_In_Idleness-,江苏,我外婆也姓陈，生前待我极好，只可惜走得太早，我对她的记忆只有她的葬礼。今天是我阴历生日，那年我出生是她来抱我。看到歌词的一瞬间想到这些，泪水就从过去的时间里倒灌进我眼睛。,34,2025-11-10 12:37:13,0.9999990834937533
赋楼,广西,太有感觉了，听得眼泪湿湿的，很有灵性。像是民俗与情感故事的结合，,33,2025-11-13 22:50:11,0.9989730342715818
离原火,上海,看到你的话我也突然开始哭我不知道为什么 我在上海上学也有房有家 但是我还是好想黑龙江 想家里的雪想家里的饭 可是我在那边的家里已经没有家人了 我没有再可以回去的理由了,32,2025-11-13 18:43:18,0.9893671157246997
遥奇,河南,小的时候是阿婆簪花，到了我簪花的年纪 阿婆却已经不在了。你不在我身边了之后我却时时能想起你陪我长大的日子，想起你给我的花衣裳，这时候的小雨 我感觉都像是你在拥抱我，可是我不知向谁开口也挽不住你的手臂。还想要和你一起穿过小巷，吹吹小风，这次换我给你花衣裳。,24,2025-11-09 14:41:26,0.6906197635274793
季昕_xin,广东,姥姥，让我听到这首歌是因为你也想我了吗,2,2025-11-22 14:14:26,0.8892524942795275
阿鱼鱼鱼鱼-,浙江,听得鸡皮疙瘩来了[超好听]点开评论区发现是写给外婆的歌，鼻酸得我也想天上的外婆外公了👵看过一部电影，里面说只要有人记得，她/他永远不会消失[红心]（原话不记得了，大概是这样）另人生在世，活在当下，但行好事，莫问前程[抱抱你],1,2025-11-22 09:54:26,0.9979791804753881
