用户名,用户城市,评论内容,点赞数,评论时间,情感得分
Lan_6XF1,,听歌的时候隐隐约约听到背景有小孩的哭声，开始有点害怕了，就把隔音蓝牙耳机摘了，然后发现是我弟因为我不理他在旁边哭的[大哭],27724,2022-02-08 16:46:54,0.061810499768504945
前进便是orietur,,小提琴，似乎总是在优雅背后藏着一丝轻蔑,20935,2022-02-25 21:05:13,0.9975589579136022
零零诺诺,,世上最幸福的便是:  wifi满格  对方正在输入  您的快递正在配送  打开电视就看到自己的偶像  天气刚好  旧衣服里的零钱  手机只剩1%时刚好踏进家门  买到炸鸡店里最后一只鸡腿  考的都会 蒙的全对  你喜欢的人刚好也喜欢你  幸福就是这么简单,16906,2021-02-27 18:53:54,0.9996633980026381
吟游诗人_DG,,相信我，小提琴听林赛，中提琴听安娜，大提琴听杰奎琳。,10317,2021-02-24 18:07:40,0.9814326789052715
泠溪向黎兮,四川,真的没人喜欢开头的钢琴吗，好像八音盒里体态柔美的少女在跳古典芭蕾，又像无人参与的舞会上主人独自跳着华尔兹,7290,2023-06-11 16:13:48,0.9998863276010054
我谁__d,内蒙古,低头，弯腰，施礼，留声机交奏着模糊的午夜，明月相拥着残垣，舞池像吞噬了万人的鲜血，红绸般缠绕着舞鞋，踮脚，后退，尽情回旋，绵里藏针，笑中带刀，阴暗处飞舞的子弹与我相伴，光明处璀璨的吊灯赠我耀眼，抬手，前进，扣动扳机，阴谋诡计、贪婪欲望，盛宴未尽，你我都值得拥有疯狂又极致优雅的一夜,7061,2024-07-07 13:45:52,0.9999973473865638
思绪如初i,浙江,感觉这首歌优雅中又有一些疯狂，就好像迈着优雅的舞步看似如绅士般与自己的舞伴共舞，实际内心透露出的疯狂早已把舞伴当成猎物，这其中就有着对浪漫的疯狂，对利益的贪婪和神秘中的优雅,6987,2022-12-07 21:44:33,0.9999999981989554
klixec,,难道你们不觉得，这首歌像是布局的人在看局中人如何打破死局吗,6896,2022-07-26 18:47:11,0.7601782877487955
crycrycryKitty,,“被腐蚀的客人们露出了獠牙，舞会落幕在假面下。”,6871,2021-08-07 10:23:11,0.8172289254023766
风间大将军,陕西,艺术中带着一丝荒诞，像是意大利面加了一颗卤蛋,6572,2023-12-18 16:09:03,0.9873626245863012
好耶世界,,一场华丽的舞会在阴谋中开演，以血色结尾,6389,2021-02-21 18:18:42,0.9985155829708562
花绿青亡灵,,Masquerade:n.	掩藏; 掩饰; 化装舞会; 假面舞会; v.	假扮; 乔装; 伪装,5144,2020-04-16 19:34:58,0.9815327249988511
come-fly-with-me,,WIFI满格但是有感叹号 对方说他太忙了别来烦他 然而快递已经配送4天了 偶像宣布退出娱乐圈 晴转雨 扯出来的时候撕坏了 插上充电器正好自动关机 鸡腿是昨天的 （无法反驳） 不存在 很难的,4892,2021-02-28 08:30:13,0.13007270541042026
猪皮猪皮怪,,给你弟带上耳机眼泪会瞬间收紧哦[奸笑],4837,2022-05-07 12:54:41,0.9770394022864787
日向花火-冬日限定,重庆,“如何…反制……白面具”[大笑],3842,2024-12-30 23:50:33,0.6744170978301658
抖音之星,山东,"“那一天我杀死了服务器的所有的玩家 """,2,2025-11-22 22:06:36,0.25215552235556116
阿D梦梦,辽宁,在浴火中重生,2,2025-11-22 21:15:11,0.36645274678396655
EmilyGuo007,云南,他凭借一人一马，就打败了服务器的所有玩家，甚至统治了下界，有人想要进入下界都必须经过他的允许，要不然就是死路一条。,1,2025-11-23 08:55:31,0.2724323804342256
星月晶凯莉,北京,“人类的心脏有250g的重量，你知道玫瑰有多重吗？” ——《我在惊悚游戏里封神》,1,2025-11-22 22:43:42,0.9999837729980151
时雨moon,浙江,小提琴绝了,0,2025-11-23 10:54:52,0.41755670041866133
痛感脉络,江西,走,0,2025-11-23 09:54:14,0.5826296743063932
埃莫西约著名黄茶,湖南,温布&不小曲,0,2025-11-23 09:53:41,0.7588072238857636
节奏盒子退圈了,广东,太对了,0,2025-11-23 09:52:44,0.34387502381406
cyberpunk---2077,贵州,hj,0,2025-11-23 09:01:54,0.5
路难寻啊,河南,[多多可怜],0,2025-11-23 08:48:57,0.6071175431881888
WC核,河南,你听到了吗…那声音…是“它们”来了！,0,2025-11-23 03:37:58,0.18154162949622443
塑料味耻骨,北京,叫,0,2025-11-22 23:33:07,0.5262327818078083
Nu-7机动特遣队代号落锤,新疆,青蛙：？,0,2025-11-22 23:25:15,0.8768650175310557
Nu-7机动特遣队代号落锤,新疆,6,0,2025-11-22 23:24:55,0.38994800693240883
ekdovksl,广西,涅槃重生,0,2025-11-22 23:18:19,0.25972517551578655
有诗有远方的女人,河南,他仅凭一人一马就打败了服务器所有玩家，甚至还占领了下界，所有玩家得通过他的允许才能进入,0,2025-11-22 22:53:02,0.2875151680026722
星月晶凯莉,北京,👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️👊无限流小说一片天，谁见惊封不递烟🚬‼️,0,2025-11-22 22:43:02,0.9999999999998366
星月晶凯莉,北京,惊封！！！！！爆！,0,2025-11-22 22:42:52,0.04710111138845807
k宇爱干饭饭饭,甘肃,‌偏导数是‌多元函数中的一个重要概念，它表示函数在某一点上关于一个变量的变化率，同时保持其他变量不变。偏导数的符号通常用∂表示，读作“‌偏微分”。偏导数的计算方法是将其他变量视为常数，然后对所选变量求导。例如，对于二元函数z = f(x， y)，z关于x的偏导数表示为∂z/∂x,0,2025-11-22 22:27:06,0.9012426458533529
神战_eGeJ,山东,‘你是谁？我，又是谁？’‘我，才是唯一的真理。’‘斯黛拉……’‘啊巴……’‘上吧薇拉。’‘佩姬有世上最好的哥哥……’‘……[哭哭],0,2025-11-22 22:22:07,0.9999890197394233
无钱哥,山东,这个又不算泰坦,0,2025-11-22 22:17:27,0.3926526197795571
美满and顺意,山东,99,0,2025-11-22 21:50:25,0.4545454545454545
