用户名,用户城市,评论内容,点赞数,评论时间,情感得分
马赫mahmood,四川,你的手放我心上🌧️,965,2025-11-18 19:03:07,0.7085923308003611
陈一豪Clear,湖南,马赫！！！！！你太厉害了！！！！！！,964,2025-11-18 22:13:49,0.0009984094928466858
六点钟要干啥,安徽,“雨啊”那一段想到了云南的泼水节，平时大家被泼水肯定会觉得很愤怒很倒霉，但泼水节那天，大家互相泼水，就变成了祝福。虽然很不喜欢下雨天淋雨，但是在这首歌里却觉得很幸福。,492,2025-11-18 19:01:15,0.9771492863965002
杜逸风Firewind,四川,先行曲这一块儿,485,2025-11-18 19:06:36,0.4737672181921908
JUNIOR2000,四川,[钻石][钻石],233,2025-11-18 19:03:56,0.02519508748799859
whwwwC1,江苏,最近生活一地鸡毛，糟糕的学业，失败的感情，迷茫的未来，唯一算是好点的就是盼到了马赫发新歌。真的给我听哭了，希望我的好运之声，也能开始奏响。,109,2025-11-18 19:08:24,0.9987369985196072
还是希望你开心,广东,有社会经济上行 全面步入小康的美感,98,2025-11-18 19:08:00,0.9762203865039976
prodby爆爆,上海,马赫加杜逸风的组合让人心安,77,2025-11-18 19:05:34,0.9735474056498116
六点钟要干啥,安徽,虽然生活有很多不如意，但请在生活的大雨小雨中舞蹈💃,74,2025-11-18 19:14:16,0.9782341795611995
我是盖普,云南,好运来了！,62,2025-11-18 19:02:13,0.5
荒予阿林,内蒙古,这首和南水北调给我一种经济上行的感觉 小马特别擅长把美好的事物画成名为歌曲的油画！直播说新专风格多 让我们期待这个马赫的《好运之声》！好运来来来！,55,2025-11-18 19:11:12,0.9959555692648655
PAF不厚道,河南,提到雨 我想到的是去年闪火新专辑 那时候我还在家躺着 无所事事 醒了吃 吃了睡 过着自暴自弃的生活 我也遇到了很多好朋友 我们开始等待热土 现在提到雨 我想到的是 骑着电动车在上班路上 淋着大雨或者小雨 感觉时间总是过的很快 歌词里有一句“我的天空有雨点浇下 心里又麻烦但不能消化”,35,2025-11-18 21:48:12,0.9999247270908951
慢慢升空1111,山东,赶快再合作一首,31,2025-11-18 22:16:57,0.25021007004859885
鲤锦好,浙江,家人们，快把播放器设置成全屏的，专辑封面会动！,30,2025-11-18 20:14:57,0.834505209320482
Xming张宏铭,新疆,Donda特意标注 真是怕了这些曲解的人了[唉],26,2025-11-18 20:16:08,0.5993127567233282
不会再等待了,广东,是杜逸风我们有救了！,3,2025-11-22 20:50:02,0.33843621707982874
玻璃唉_,重庆,道理我都懂，这个艾莎头像多久换,3,2025-11-22 12:49:19,0.09658076870152854
清纯的舔狗,河南,马赫你是我的神！！！[爆笑],2,2025-11-22 15:14:10,0.9092901864727052
SNuC-,山东,这一场雨洗净了我枯燥的灵魂🌧,2,2025-11-22 14:51:23,0.9230374258468174
PhLLG,湖南,灵动的伴奏,2,2025-11-22 13:50:23,0.4737672181921908
矮志恒-梅油锉,湖南,好听,2,2025-11-22 13:32:21,0.33333333333333337
-_sdy,湖北,夏辰熙nb,1,2025-11-22 19:49:03,0.8901750077275126
泡不到的Ooo,河北,？,1,2025-11-22 18:51:11,0.5262327818078083
F1shSp3cmen,浙江,五颜六色闪闪发光的雨滴,1,2025-11-22 18:07:23,0.9358751176067861
Z_h要谦虚,浙江,有谁一遍就喜欢的,1,2025-11-22 17:43:23,0.8631716070933722
Z_h要谦虚,浙江,你终于来了马赫,1,2025-11-22 17:40:33,0.5613582728500267
几号去了,河南,孤独的,1,2025-11-22 17:11:30,0.9761904761904762
超级野兽狗,福建,超越糟糕日子的一张,1,2025-11-22 15:12:18,0.7854123877045045
甜够主义,四川,你真的太棒了,1,2025-11-22 14:30:30,0.9021171224764061
晓rapper,山东,过年了,1,2025-11-22 13:51:22,0.5
N4N南,广东,神了,1,2025-11-22 12:54:59,0.6041666666666664
荒予阿林,内蒙古,是的[憨笑],1,2025-11-22 12:44:21,0.5
30_Thirty,山东,好的好的对不起,0,2025-11-22 20:32:33,0.5262777224634231
barrra,浙江,这可不叫抽象哦 玩抽象之前麻烦你尊重一下音乐和歌手,0,2025-11-22 20:25:37,0.9053001894461657
30_Thirty,山东,我就玩抽象 你咋还急了[抱抱你],0,2025-11-22 20:23:34,0.9054142190677706
barrra,浙江,我,0,2025-11-22 19:23:20,0.5262327818078083
barrra,浙江,看你三级标牌我不想多说什么 你自己删了行吗,0,2025-11-22 19:22:51,0.15897760892329882
酸酪粒,安徽,太爽了哥[心动],0,2025-11-22 13:25:11,0.8311134044655757
十八岁美兔,山西,雨啊雨啊雨啊雨啊雨啊,0,2025-11-22 12:09:02,0.6366188845077287
kingpin08,广东,这个放专辑第一首确实好啊，最后被带入了整张专辑的氛围了,0,2025-11-22 11:54:37,0.918893867846409
