用户名,用户城市,评论内容,点赞数,评论时间,情感得分
刹那瞬息,安徽,像是走了很远的路回头看的感觉,184,2025-11-03 10:45:53,0.9574717615047423
心中的卡夫卡,北京,哦。这首就是少女的蹄子啊[搞怪],66,2025-11-03 20:28:57,0.9807423328934192
一颗好吃的西蓝花,云南,我现在能欣然面对每一个红灯了,52,2025-11-04 11:54:05,0.7823971730577881
允橙子,四川,推荐用教堂那个音效听一下试试，好听死了[哭哭],44,2025-11-05 21:01:52,0.9512613568828244
SunnyKwok7,广东,我不知道这些年我们都经历了什么，但我清晰感知到了时间在她身上留下的痕迹。人过中年再唱「少女的祈祷」，再不是彼时初生牛犊不怕虎的少女风华与青春冲击。歌声铿锵依旧，却被生活和年岁灌注进横冲直撞后的温柔、风霜沉淀后的体悟。 故事已不是当年的故事，烈女仍然毅行，飞女的披风却越发厚重了。,44,2025-11-03 09:11:09,0.9999999969191591
麦旋风大帝,山西,原版为什么没了 感觉原版更好听 [哭哭][哭哭][哭哭],28,2025-11-04 17:42:29,0.984887238021954
不想要昵称耶,湖南,新编曲真好听。少女已是中女，胸口的勇字仍在，歌声里的伤痛和不甘也已随年岁消散。她的唱腔更成熟温润了，和声的加入更增添了一份圣洁感。少女的祈祷里不再有酸涩，回望走过的路，充满感念与怜惜。,27,2025-11-03 00:40:53,0.9999999999127587
BrienM,四川,这个专辑如果有，我是说如果有飞女正传将是绝杀[哭哭],26,2025-11-04 08:25:07,0.809460754654315
600CC的燒杯,浙江,哭了 下架了那么久 再搜索发现了新版本,15,2025-11-03 22:56:11,0.8598157421372346
vita__ysOh,广东,全新编曲的少女的祈祷🥺加上了合唱团，好圣洁🥺,15,2025-11-03 00:01:53,0.9981610941697205
冰茶没有茶不加冰,四川,这首清唱进来加合唱和音 好福音的感觉啊 确实变得好少女的“祈祷” 像一位少女在教堂祈祷,12,2025-11-03 02:43:20,0.9999841678623778
_应急玫瑰,河南,肥陈时隔多年重录了K歌之王，嬅姐重录了稀客、少女的祈祷。都道出不一样的心境，何尝不是一种缘分。,11,2025-11-03 17:25:47,0.9999971263913654
LongerLau,重庆,这庄严的和声与弦乐更增添宿命感。结尾戛然的管风琴，像宏大叙事的断片儿，故事以光速倒退，一朵花坍缩成粒子。不知道杨姐重录25年前的歌时，还会不会红了眼睛。,10,2025-11-04 02:55:07,0.9995181803359123
放牛的奶豆豆,浙江,听哭了[哭哭][哭哭][哭哭][哭哭]当初为爱跪拜的神像，如今在镜中望见皱纹。少女的祈祷从未停歇，只是不再为一人，而为一生。,10,2025-11-03 08:22:31,0.9999998560130398
永恒水星,江苏,这版本真的是在教堂唱圣歌了，祈求天地放过一双恋人。实际上神都旁观地好无情，少女太想要相信想要好结局，一直祈祷。,4,2025-11-12 14:23:53,0.9999911267769299
河蟹001,湖南,这是25年11朋刚出的重录版,2,2025-11-12 14:56:29,0.569623886780561
睡火山bb,北京,祝你幸福 下辈子该我了,1,2025-11-15 07:24:47,0.9939972470119401
下雨天是我呀,广东,这个就是少女的提子[手动狗头][手动狗头],1,2025-11-13 17:49:13,0.9494426261608907
椎名京1959,广东,少女的提子🍇,1,2025-11-12 15:06:26,0.9133224613253615
河蟹001,湖南,这是25年11月刚出的重录版,1,2025-11-12 14:57:29,0.14577484801028828
是森森森喔,山东,这个歌是刚有版权吗,1,2025-11-12 10:56:22,0.2596178108028373
风陵渡口忆榴莲,北京,这首歌我听前奏就爱上了,0,2025-11-16 22:56:40,0.9248424404727278
夹心大香蕉,广东,少年的提子,0,2025-11-16 19:33:44,0.9700695488307891
七妮妹,天津,？之前的版本呢 想对比下之前的编曲 偷摸的给下架了？,0,2025-11-16 18:27:48,0.38305690531268044
深红血刃slime,广西,我还以为原版回来了我去,0,2025-11-16 11:59:41,0.38898879188445434
阿黎Alee,广东,哇！真的！,0,2025-11-15 20:07:47,0.5305096913137115
伦敦久久晴,广东,耳机党有福了,0,2025-11-15 14:41:10,0.5742196550662887
Belinda快跑,浙江,完了。。试了之后不记得之前自己用的音效了,0,2025-11-14 19:49:00,0.9381459332019171
用户7901835270,广东,重听一次 起鸡皮 谢谢你,0,2025-11-14 16:05:08,0.5771319163743273
我有两颗兔牙Five,广东,杨千嬅，你的歌很多都是心声，可惜我是水瓶座，我们水瓶座最懂水瓶座♒️了，独立 善良 沉稳又敏感,0,2025-11-14 12:29:56,0.9999931199355993
小婷碎碎听-,浙江,@李昊-LH 昊昊可以唱这首嘛[举手][举手][举手],0,2025-11-14 09:34:21,0.9986631544564608
箭毒木木,云南,少女的提子[呲牙],0,2025-11-13 18:27:37,0.9133224613253615
风继续吹412,北京,最下面三个点点进去 再点音效,0,2025-11-13 16:55:14,0.3761094566823783
毕十三三,河南,祈祷  祈祷 祈祷 祈祷我只是虚惊一场 祈祷我一直健康。,0,2025-11-13 15:06:43,0.999991684740798
时差失忆,广东,在哪里设置？,0,2025-11-13 07:28:39,0.3436123348017621
Ericbr,广东,哈哈 这就是少女的提子 🍇,0,2025-11-13 07:26:40,0.9133224613253615
音乐也有治疗作用,上海,[超好听],0,2025-11-12 20:48:57,0.36379158827025715
锃锃亮-,广东,少女的提子哈哈哈哈,0,2025-11-12 14:06:25,0.9858245090943331
神秘喵达人,山东,天空本是一种风景，可是遇见你之后，它变成了一种心情。,0,2025-11-12 13:09:32,0.9955677351096605
