用户名,用户城市,评论内容,点赞数,评论时间,情感得分
AcidT_TAcid,重庆,Gareth T你再敢和揽佬混一块我就把你书包扒了,38035,2025-10-30 00:00:51,0.7266427230370417
Zzisz_,云南,耳朵从怀孕到堕胎仅需一秒,16831,2025-10-30 00:16:20,0.8266882818462333
儒雅随和陈冠希,江苏,这两人能合作像JustinBieber Feat.曹万江,16574,2025-10-30 00:02:42,0.13109653283421407
颗糖Asbefore,山东,终于理解老师说的：你不学可以，不要影响别的同学。,16052,2025-10-30 12:45:42,0.9655684350157282
一百熙,广东,好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩 好好听☺️好难听😩,14976,2025-10-30 00:07:27,0.583812621127998
揽佬,中国澳门,[流泪],14605,2025-10-30 00:07:03,0.8
_借地球高温,广东,揽老两个字出来有种大脑被抚平的无力感,14002,2025-10-30 00:00:06,0.5761663876520868
nanaltt,广东,难听的要死了。。,13858,2025-10-30 00:07:24,0.2535623208477721
早早起了床,广东,有一种大人在讲话小孩一直插嘴的感觉[问号],9784,2025-10-30 00:34:53,0.7037748628397574
18sssssssss,湖南,有汤令山纯享版吗,8132,2025-10-30 00:02:44,0.7911085795603948
bik1yin4,广东,来了 虽然很喜欢Gareth 但是这首真的很像就像芋圆西米露加了两颗牛肉丸在里面。求出Gareth纯享版!Gareth我一直在哭😭😭这个世界怎么了!!,7677,2025-10-30 00:01:18,0.8309433428101202
-hzs-1224,福建,《紧急憋佬仔》《去北极大展宏图》《用脊背来财》《国际级紫气东来》 《遇上来财之前的我》《劲浪漫 超来财》《去广东忘记你》,6847,2025-10-30 00:00:52,0.9958182661614519
llIlIIlllIIllI,广东,从伯克利到惠州学院,6696,2025-10-30 10:23:39,0.4737672181921908
网上邻居小邓,广东,唯一是开了会员还希望只能听前 30 秒的歌,5581,2025-10-30 00:12:01,0.3831513885728093
戾格_,北京,你俩能不能绝交,4980,2025-10-30 00:05:03,0.2815840061254886
想睡觉o,天津,听前面觉得是仙品，揽佬出来那一刻小脑都萎缩了[笑哭了][笑哭了][笑哭了],4,2025-11-22 20:05:14,0.9966769483700051
云村村民17606935278154,广东,冰美式是好喝的，潮汕牛肉丸是好吃的，混在一起就变成🔟了,3,2025-11-23 11:09:14,0.35050935466223887
QQ爱----,湖北,揽佬起到了一个解腻的作用，一直听好听的会腻，但是如果好听的里面有难听的你只会觉得好听的部分简直就是仙品,3,2025-11-23 10:26:16,0.023897310579386377
已吴宇Part2,广东,Gareth.T负责悲伤，揽佬负责结账[大哭],2,2025-11-23 09:31:39,0.9712563701947922
你我似霜,中国,揽老你咋了,2,2025-11-23 02:21:34,0.5197943791213149
Ijz329,广东,感觉揽佬这辈子只能发那种闯荡江湖的歌，这个音色口音出情歌感觉很....没有氛围&破坏情歌的感觉[笑哭了],2,2025-11-23 02:19:30,0.9990060976599532
永恒的河--Xx,山东,揽佬在喂什么，要打电话出去打,2,2025-11-22 19:41:38,0.17639655400826737
Siriusnull,四川,太der 了,1,2025-11-23 12:53:05,0.3205815415310954
Aurora极光-love,四川,揽佬跟有病一样,1,2025-11-23 12:52:04,0.4171213070308609
L-下周日,安徽,Hhhhhhhhhhhhhhhhh,1,2025-11-23 12:37:46,0.5
時間慢點走128,广东,揽佬要吵出去吵🤣,1,2025-11-23 12:03:42,0.06173736168964106
LU-02,广东,黑红也是红,1,2025-11-23 11:40:00,0.5418616309462893
goddddddddamn,广西,我怕过了这几年 赚不到,1,2025-11-23 10:55:26,0.05899923853914346
2parkland,广东,？我疑问呢 这个憋老崽出现再这首歌认真的吗,1,2025-11-23 10:20:01,0.6181038656767603
无声的示意,湖南,啥呀，太割裂了吧,1,2025-11-23 09:28:46,0.3205815415310954
That-x,辽宁,汤弗朗明哥,1,2025-11-23 04:07:38,0.6000799053524193
本质是很为难难难,江西,揽佬要吵出去吵。,1,2025-11-23 01:59:09,0.06810858333212488
脚文vv,广东,耳朵流产只需要揽佬出现,1,2025-11-22 23:28:50,0.2847096815186475
豚踢兔x117,黑龙江,朱志鑫我也觉得这首歌好听[搞怪],1,2025-11-22 22:01:43,0.8056556244803257
拜托请鱼块,安徽,其实这首歌不需要会员[搞怪],1,2025-11-22 21:46:03,0.766092704921057
332kdi_xipol,福建,怎么有揽叫。,1,2025-11-22 20:15:14,0.5
听歌是解药ou,广东,😭,1,2025-11-22 19:13:29,0.5
甜梅号不甜,中国香港,挺久了 揽佬还挺顺耳,1,2025-11-22 19:05:31,0.9258670631118845
y_yh21,辽宁,@泪痕hhhh1,1,2025-11-22 18:06:04,0.8020859269935734
