用户名,用户城市,评论内容,点赞数,评论时间,情感得分
柚之谦,湖南,《顽疾》是深陷其中无法自拔.. 《湖泊》是坠入深渊垂死挣扎.. 而《平庸》是逐渐释怀慢慢放下..,2687,2025-11-07 20:30:10,0.9977071781102471
乐途乐途乐在途中,贵州,平庸的我 租购了房 患上顽疾 最后跌入了湖泊,2312,2025-11-07 20:52:17,0.02345308168605187
阿祁iiii,广东,只有薛友才知道这一个月有多少爽,2080,2025-11-08 02:22:28,0.9627550074898222
梦w努力浇了水,广东,你以为他只写苦情歌 其实他写尽了人生百态,1198,2025-11-07 20:44:44,0.7555485052886519
加里敦大学实习生,江苏,祝各位四巡都是原价票[手动狗头],1069,2025-11-07 20:42:36,0.779677633961083
谦谦去宇宙摘星了,河南,“我们无法预知某个瞬间的价值，直到它变成平庸回忆”,508,2025-11-07 20:32:28,0.9638439807485982
小沄a,广东,薛之谦的兵不平庸！今年靠自己的努力拿到了国家奖学金和学校一等奖奖学金 四巡我来了[多多大哭][多多大哭][多多大哭],447,2025-11-07 20:34:48,0.9999983656272511
尘埃之墨,浙江,这首歌感觉到薛的作词还在进化，最后那一段真的太美了而且和Demo作词完全契合，我一直觉得薛的用词真的很特别，有他自己的感觉又很精准，最后的“渲染”和“失真”这两个词真的太美了戳我了，神曲降临，这首曲我也挺喜欢的，这三期平庸＞湖泊＞顽疾（当然我都很喜欢，只不过是喜好度有些差别）,341,2025-11-07 22:05:14,0.999999995331446
神秘忧郁男_,广东,那很苦了,240,2025-11-07 22:15:59,0.6677486813335564
爱笑的zdy,北京,当个预言家，薛之谦四巡，珍姐当嘉宾，两个人合唱，我们在现场一边听一边哭[哭哭],218,2025-11-08 02:59:14,0.9981832785825291
白久涵呀,云南,“任秋叶卷起，话就落地”谁懂这两句！！！！,214,2025-11-07 21:04:58,0.9489480337972489
Alewx-,河北,世界上有一个特别棒的人 她正在读我这句话,171,2025-11-08 00:25:49,0.9991735537770791
柚之谦,湖南,感谢..[拜],170,2025-11-07 20:30:17,0.8447733843369465
正日落,江苏,万人血书《爱好》！！！[亲亲][亲亲][亲亲],147,2025-11-07 21:43:10,0.8925558698216643
旧人旧到,广东,好奇怪，我一按暂停，就不唱了 就像，我一不主动，我们就结束了,139,2025-11-11 21:55:18,0.7212553523240155
Peeyam,江苏,有木有可能是谦友,1,2025-11-23 09:34:29,0.9596532497030212
7-ui芮芮,浙江,我要空留白提醒我在遗忘.,1,2025-11-23 07:39:46,0.8891986624906242
oi琪琪控,广东,今天先大方 明天再流浪,1,2025-11-23 02:26:52,0.9913635942341781
VIEW-5,河北,[流泪],1,2025-11-23 00:06:04,0.8
一张旧机票,贵州,我要空留白提醒我在遗忘,1,2025-11-22 23:52:39,0.8891986624906242
ID岭南,广东,我始终猜不透你 也许你从未在意过我.,0,2025-11-23 11:07:15,0.4462923081197445
ID岭南,广东,人总是用一瞬间的美好 来原谅许多悲痛.,0,2025-11-23 11:07:03,0.9743690146399171
ID岭南,广东,爱的最高境界是心疼 可你始终不懂.,0,2025-11-23 11:06:51,0.7957187321710989
ID岭南,广东,如果注定要分别 那相遇的意义是什么.,0,2025-11-23 11:06:36,0.9856849037698582
ID岭南,广东,我死死握住这一页 觉得我们还有可能.,0,2025-11-23 11:06:25,0.2485537739700978
ID岭南,广东,如果世界少一点谎言.,0,2025-11-23 11:06:09,0.9655346293044225
你像太阳照耀着,山东,我有吗,0,2025-11-23 10:44:18,0.5262327818078083
小兮几o,北京,豪庭[爱心][爱心][爱心],0,2025-11-23 10:34:22,0.9911851341622918
张张专属,北京,最爱,0,2025-11-23 10:24:15,0.7790473730968941
瘟暖_,江西,☺️,0,2025-11-23 09:28:13,0.5
Birdy_No1,云南,哈喽,0,2025-11-23 09:08:09,0.5384615384615385
没有影子了,广西,编曲够顶，词稍显“平庸”[手动狗头],0,2025-11-23 08:48:34,0.8521456990530777
Wzxxxcky,四川,哇,0,2025-11-23 08:36:42,0.5262327818078083
huai情緒-,山东,任秋叶卷起 话就落地.,0,2025-11-23 04:37:21,0.9891608944101425
over-赴,广西,[笑了],0,2025-11-23 03:45:52,0.6999999999999997
一昂杨__-,天津,想看万兽之王[爆笑],0,2025-11-23 02:59:41,0.960557372289209
bb7y,广东,世界和平,0,2025-11-23 02:37:59,0.9750639927823019
bb7y,广东,接,0,2025-11-23 02:37:54,0.4194528875379938
去杀死那只知更鸟,江苏,我也有吗,0,2025-11-23 00:58:07,0.5262327818078083
季青玉,湖北,诶嘿,0,2025-11-23 00:54:32,0.33333333333333337
林初贰,江苏,别回应 让烟慢慢讲,0,2025-11-23 00:08:32,0.951443488047225
VIEW-5,河北,我永远永远永远不会原谅他，永远不会,0,2025-11-23 00:04:22,0.7683364474280268
二十十七,陕西,最近眼泪又不受控制了 好讨厌莫名的情绪 希望可以无需事事顺利 但总能克服一切,0,2025-11-22 23:51:57,0.9993455996344284
谦谦的鼻嘎,河北,回忆的缝隙都是尘埃，麻木的转载语言苍白，孤独的行走渴求被爱，在迷途中醒来。,0,2025-11-22 23:39:22,0.9999982196891659
谦谦的鼻嘎,河北,我们模仿慢半拍的芭比，我们移动慢半拍的身体，漫天纸醉金迷，这算不上滑稽，反正这世界早已那么差强人意。,0,2025-11-22 23:39:17,0.1471478742245197
谦谦的鼻嘎,河北,我们放任慢半拍的身体，谁靠近谁远离，谁看惯谁看腻，反正那人心早已那么表里不一。,0,2025-11-22 23:39:15,0.48333675044930924
谦谦的鼻嘎,河北,霓虹过后我自首，欢愉只剩皮肉，在海市蜃楼喋喋不休，自由 自由 我尽量献丑。,0,2025-11-22 23:39:13,0.9854993149566538
谦谦的鼻嘎,河北,摩天大楼太稀有，人人高贵富有，表情温柔怕献丑，没人吐出骨头，你们谁位居榜首。,0,2025-11-22 23:39:07,0.3948799810211392
谦谦的鼻嘎,河北,人世平庸 你是眸间温柔。,0,2025-11-22 23:39:05,0.8620205194146531
谦谦的鼻嘎,河北,回忆的缝隙都是尘埃，麻木的转载语言苍白，孤独的行走渴求被爱，在迷途中醒来。,0,2025-11-22 23:39:04,0.9999982196891659
谦谦的鼻嘎,河北,梦里有你，香甜无比；心里有你，充实无比；身边有你，幸福无比。,0,2025-11-22 23:39:01,0.9998849332236719
谦谦的鼻嘎,河北,角色精湛 主题略荒诞，理由太短 是让人不安，疑信参半 却无比期盼，你的惯犯 圆满，别让纠缠 显得 孤单。,0,2025-11-22 23:38:59,0.9997898455539055
谦谦的鼻嘎,河北,你知道为什么我老是感冒吗？因为我对你毫无抵抗力,0,2025-11-22 23:38:57,0.18679560325483524
谦谦的鼻嘎,河北,你的眼睛真美 为什么呢 因为你眼里有我,0,2025-11-22 23:38:51,0.9732542006560193
谦谦的鼻嘎,河北,这是钢琴 这是小提琴 你是我的爱情,0,2025-11-22 23:38:48,0.7192194062849208
谦谦的鼻嘎,河北,如果血型不是方型 为何可以长这么正,0,2025-11-22 23:38:46,0.9718157126842674
谦谦的鼻嘎,河北,你是不是故意的？不！ 我是你的,0,2025-11-22 23:38:44,0.07772708169235498
